"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Inc. emp.",0.5,"1 m35-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3390,155,3435,343,3092
"Inc. sim.",0,"1 m36-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",43706,1679,0,0,0
"Inc. sim.",0.1,"1 m37-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",40127,1558,11785,1456,10329
"Inc. sim.",0.2,"1 m38-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",8964,324,7397,693,6704
"Inc. sim.",0.3,"1 m39-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",6078,239,7365,744,6621
"Random",0.4,"1 m4-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8317,322,11394,1256,10138
"Inc. sim.",0.4,"1 m40-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",5229,218,7075,741,6334
"Inc. sim.",0.5,"1 m41-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3615,160,3964,432,3532
"Random",0,"1 m42-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",50623,1987,0,0,0
"Random",0.1,"1 m43-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",27171,1067,12793,1361,11432
"Random",0.2,"1 m44-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",19281,751,17066,1890,15176
"Random",0.3,"1 m45-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12821,517,14476,1600,12876
"Random",0.4,"1 m46-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7794,314,10712,1148,9564
"Random",0.5,"1 m47-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6025,261,8471,950,7521
"Age+HH",0,"1 m48-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48474,1833,0,0,0
"Age+HH",0.1,"1 m49-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",25808,1077,13744,1271,12473
"Random",0.5,"1 m5-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5367,206,7290,816,6474
"Age+HH",0.2,"1 m50-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",9490,396,9213,864,8349
"Age+HH",0.3,"1 m51-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",4981,213,5851,571,5280
"Age+HH",0.4,"1 m52-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4441,211,5396,535,4861
"Age+HH",0.5,"1 m53-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3297,139,3411,351,3060
"Old",0,"1 m54-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",53587,2045,0,0,0
"Old",0.1,"1 m55-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",42790,1609,6203,1012,5191
"Old",0.2,"1 m56-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",38351,1420,10629,1655,8974
"Old",0.3,"1 m57-old-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",24927,840,15710,2162,13548
"Old",0.4,"1 m58-old-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",15837,598,17358,2096,15262
"Old",0.5,"1 m59-old-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6816,219,8951,1041,7910
"Age+HH",0,"1 m6-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",47878,1856,0,0,0
"Young",0,"1 m60-young-0-individuals-weight-0.8-ill_symptomatic-10-0.0",46182,1822,0,0,0
"Young",0.1,"1 m61-young-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",37863,1548,9094,1020,8074
"Young",0.2,"1 m62-young-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",30122,1153,18532,1869,16663
"Young",0.3,"1 m63-young-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",10414,430,11176,1140,10036
"Young",0.4,"1 m64-young-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",7375,312,9822,993,8829
"Young",0.5,"1 m65-young-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",6018,247,8826,888,7938
"HH",0,"1 m66-household_size-0-individuals-weight-0.8-ill_symptomatic-10-0.0",48117,1913,0,0,0
"HH",0.1,"1 m67-household_size-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",24888,935,8669,781,7888
"HH",0.2,"1 m68-household_size-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",17421,774,10581,957,9624
"HH",0.3,"1 m69-household_size-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",8587,392,7695,734,6961
"Age+HH",0.1,"1 m7-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",22127,923,12024,1129,10895
"HH",0.4,"1 m70-household_size-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",6746,292,7029,697,6332
"HH",0.5,"1 m71-household_size-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3930,162,4223,429,3794
"Inc. emp.",0,"1 m72-inc_rank_emp-0-individuals-weight-0.8-ill_symptomatic-10-0.0",45483,1749,0,0,0
"Inc. emp.",0.1,"1 m73-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",26961,1085,11170,1074,10096
"Inc. emp.",0.2,"1 m74-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12836,471,13525,1302,12223
