"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Inc. sim.",0.5,"m1270-inc_rank_sim-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,672,30,713,101,612
"Random",0.5,"m136-random-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1503,48,1737,261,1476
"Age+HH",0,"m163-super-spreaders-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,9874,389,0,0,0
"Age+HH",0.1,"m190-super-spreaders-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,6306,229,2451,310,2141
"Age+HH",0.2,"m217-super-spreaders-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2183,94,1616,209,1407
"Age+HH",0.3,"m244-super-spreaders-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1649,78,1933,247,1686
"Age+HH",0.4,"m271-super-spreaders-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,877,48,962,128,834
"Random",0.1,"m28-random-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,5543,196,2307,317,1990
"Age+HH",0.5,"m298-super-spreaders-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,656,27,640,94,546
"Old",0,"m325-old-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,9851,401,0,0,0
"Old",0.1,"m352-old-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,9292,352,1055,210,845
"Old",0.2,"m379-old-0.2-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,9625,341,2116,429,1687
"Old",0.3,"m406-old-0.3-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,5903,218,3078,526,2552
"Old",0.4,"m433-old-0.4-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,2549,90,2200,350,1850
"Old",0.5,"m460-old-0.5-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,1667,50,2021,302,1719
"Young",0,"m487-young-0-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,6953,271,0,0,0
"Young",0.1,"m514-young-0.1-individuals-weight-0.6-ill_symptomatic-5-0.0",0,0.6,5,10894,431,2013,290,1723
